Ask HN Posts,
hour,avg
0,8.127272727
1,11.38333333
2,23.81034483
3,7.796296296
4,7.170212766
5,10.08695652
6,9.022727273
7,7.852941176
8,10.25
9,5.577777778
10,13.44067797
11,11.05172414
12,9.410958904
13,14.74117647
14,13.23364486
15,38.59482759
16,16.7962963
17,11.46
18,13.20183486
19,10.8
20,21.525
21,16.00917431
22,6.746478873
23,7.985294118
,
Other Posts,
hour,avg
0,27.07692308
1,23.072
2,27.78684807
3,26.82555283
4,24.12555066
5,25.17525773
6,21.35784314
7,26.80803571
8,27.02620968
9,27.58801498
10,26.61252115
11,29.59393939
12,30.34727503
13,30.89651416
14,32.3308977
15,29.51923077
16,25.3941871
17,27.99572284
18,26.92435424
19,26.70102041
20,23.13940724
21,23.60983982
22,23.2651715
23,24.61721068
