Show HN Posts,
hour,avg
0,37.83870968
1,25
2,11.33333333
3,25.14814815
4,14.84615385
5,5.473684211
6,23.4375
7,19
8,15.26470588
9,18.43333333
10,18.91666667
11,33.63636364
12,41.68852459
13,24.62626263
14,25.43023256
15,28.56410256
16,28.32258065
17,27.10752688
18,36.31147541
19,30.94545455
20,30.31666667
21,18.42553191
22,40.34782609
23,42.38888889
,
,
Other Posts,
hour,avg
0,58.45826514
1,50.606
2,58.47165533
3,56.92137592
4,49.66740088
5,49.96649485
6,46.23529412
7,56.83258929
8,54.09274194
9,53.93632959
10,60.48392555
11,57.56818182
12,57.39797212
13,62.52505447
14,61.78601253
15,60.54230769
16,54.18256131
17,57.9786142
18,53.92896679
19,60.01122449
20,45.24478595
21,49.36956522
22,50.23614776
23,52.02967359
